customer_id,senior_citizen,tenure_months,contract,internet_service,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,churn
C00063,0,50,One year,DSL,No,No,Mailed check,58.06,2903.0,0
C00064,0,17,One year,Fiber optic,No,Yes,Credit card,65.13,1107.21,1
C00065,0,17,One year,No,Yes,No,Credit card,27.34,464.78,0
C00066,0,64,One year,Fiber optic,No,Yes,Credit card,78.6,5030.4,0
C00067,0,34,Month-to-month,No,No,Yes,Electronic check,19.46,661.64,1
C00068,0,54,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,82.18,4437.72,0
C00069,0,42,Month-to-month,Fiber optic,Yes,No,Credit card,98.62,4142.04,1
C00070,1,45,Month-to-month,Fiber optic,No,No,Mailed check,82.32,3704.4,0
C00071,0,50,Month-to-month,DSL,Yes,Yes,Mailed check,60.26,3013.0,0
C00072,0,48,Two year,DSL,No,No,Mailed check,45.33,2175.84,0
C00073,0,66,Month-to-month,Fiber optic,Yes,No,Mailed check,102.48,6763.68,0
C00074,0,57,Month-to-month,No,No,Yes,Mailed check,17.12,975.84,0
C00075,0,22,Month-to-month,Fiber optic,Yes,No,Electronic check,91.06,2003.32,1
C00076,0,12,Month-to-month,DSL,No,No,Credit card,59.82,717.84,0
C00077,0,61,One year,No,No,Yes,Electronic check,15.0,915.0,0
C00078,0,27,One year,DSL,Yes,Yes,Electronic check,89.74,2422.98,0
C00079,0,22,One year,No,Yes,No,Credit card,20.66,454.52,0
C00080,0,8,One year,No,Yes,No,Electronic check,18.12,144.96,0
C00081,1,40,Month-to-month,No,Yes,Yes,Electronic check,25.09,1003.6,0
C00082,0,37,Two year,No,No,Yes,Bank transfer,24.91,921.67,0
C00083,0,60,Month-to-month,DSL,Yes,No,Mailed check,45.31,2718.6,0
C00084,1,54,Month-to-month,Fiber optic,No,Yes,Bank transfer,97.03,5239.62,0
C00085,0,52,Month-to-month,Fiber optic,No,No,Mailed check,48.03,2497.56,0
C00086,0,39,One year,Fiber optic,No,Yes,Electronic check,94.22,3674.58,0
C00087,0,62,Month-to-month,DSL,Yes,Yes,Mailed check,39.73,2463.26,0
C00088,0,71,Month-to-month,DSL,No,No,Mailed check,44.6,3166.6,0
C00089,0,59,Month-to-month,DSL,No,Yes,Mailed check,62.34,3678.06,0
C00090,1,25,Month-to-month,Fiber optic,No,Yes,Bank transfer,94.04,2351.0,1
C00091,0,20,One year,Fiber optic,No,Yes,Electronic check,80.92,1618.4,0
C00092,0,0,Month-to-month,No,No,No,Bank transfer,15.0,15.0,0
C00093,0,72,Month-to-month,Fiber optic,Yes,Yes,Electronic check,78.51,5652.72,0
C00094,0,53,Month-to-month,Fiber optic,No,No,Bank transfer,58.0,3074.0,0
C00095,0,68,One year,DSL,No,No,Bank transfer,61.35,4171.8,0
C00096,0,57,Month-to-month,Fiber optic,Yes,Yes,Electronic check,63.04,3593.28,0
C00097,0,31,Month-to-month,DSL,Yes,Yes,Bank transfer,45.78,1419.18,0
C00098,0,10,Month-to-month,DSL,Yes,Yes,Credit card,50.07,500.7,0
C00099,0,3,Two year,DSL,No,Yes,Credit card,66.13,198.39,0
C00100,0,57,Two year,DSL,No,Yes,Credit card,48.48,2763.36,0
C00101,1,22,One year,DSL,Yes,Yes,Bank transfer,50.26,1105.72,0
C00102,0,27,Month-to-month,Fiber optic,No,Yes,Credit card,70.79,1911.33,1
C00103,0,61,Two year,DSL,No,No,Mailed check,54.66,3334.26,0
C00104,0,35,One year,DSL,Yes,No,Mailed check,59.14,2069.9,0
C00105,1,69,One year,DSL,No,No,Electronic check,31.29,2159.01,0
C00106,0,39,Month-to-month,Fiber optic,No,Yes,Mailed check,62.18,2425.02,0
C00107,0,60,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,95.52,5731.2,0
C00108,0,9,Month-to-month,DSL,No,No,Credit card,64.46,580.14,0
C00109,0,28,Two year,DSL,Yes,No,Mailed check,32.05,897.4,0
C00110,0,13,Month-to-month,No,No,Yes,Bank transfer,20.51,266.63,0
C00111,0,4,Month-to-month,Fiber optic,Yes,Yes,Credit card,89.92,359.68,1
C00112,0,72,Month-to-month,Fiber optic,No,No,Electronic check,96.99,6983.28,1
C00113,0,37,One year,Fiber optic,No,Yes,Electronic check,54.0,1998.0,0
C00114,0,25,Month-to-month,No,No,Yes,Bank transfer,24.8,620.0,0
C00115,0,27,Two year,No,No,Yes,Bank transfer,20.27,547.29,0
C00116,0,17,One year,Fiber optic,No,Yes,Electronic check,92.64,1574.88,0
C00117,0,8,One year,Fiber optic,Yes,Yes,Bank transfer,112.73,901.84,0
C00118,0,66,Month-to-month,DSL,No,Yes,Mailed check,68.77,4538.82,0
C00119,0,7,One year,Fiber optic,No,Yes,Mailed check,89.49,626.43,0
C00120,0,28,One year,Fiber optic,No,No,Mailed check,81.22,2274.16,0
C00121,0,11,One year,DSL,No,No,Mailed check,31.24,343.64,0
C00122,0,67,Month-to-month,No,Yes,Yes,Bank transfer,15.0,1005.0,0
C00123,0,15,Month-to-month,No,Yes,Yes,Electronic check,21.18,317.7,0
C00124,0,28,Month-to-month,DSL,Yes,Yes,Credit card,40.4,1131.2,0
C00125,0,55,Month-to-month,No,Yes,No,Mailed check,17.9,984.5,0
C00126,0,41,Month-to-month,DSL,No,Yes,Credit card,48.57,1991.37,0
C00127,0,27,Month-to-month,Fiber optic,No,No,Electronic check,110.45,2982.15,1
C00128,1,41,Month-to-month,No,No,No,Mailed check,26.28,1077.48,0
C00129,1,31,One year,DSL,Yes,No,Mailed check,58.07,1800.17,0
C00130,0,21,Month-to-month,Fiber optic,No,Yes,Electronic check,100.21,2104.41,1
C00131,0,43,Two year,Fiber optic,Yes,No,Electronic check,90.2,3878.6,0
C00132,0,26,One year,DSL,Yes,Yes,Electronic check,49.54,1288.04,0
C00133,0,70,Month-to-month,Fiber optic,No,No,Credit card,83.45,5841.5,0
C00134,0,33,One year,DSL,No,No,Electronic check,62.01,2046.33,0
C00135,0,55,Month-to-month,Fiber optic,Yes,No,Bank transfer,94.77,5212.35,0
C00136,0,17,Two year,DSL,Yes,No,Electronic check,72.5,1232.5,0
C00137,1,47,Month-to-month,DSL,No,No,Credit card,62.02,2914.94,0
C00138,0,40,One year,Fiber optic,No,Yes,Electronic check,73.35,2934.0,0
C00139,1,54,Month-to-month,DSL,Yes,Yes,Credit card,56.02,3025.08,0
C00140,1,33,Month-to-month,Fiber optic,No,Yes,Mailed check,91.43,3017.19,0
C00141,0,52,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,80.3,4175.6,0
C00142,0,4,Two year,Fiber optic,No,Yes,Mailed check,68.02,272.08,0
C00143,1,50,One year,DSL,No,Yes,Bank transfer,54.27,2713.5,0
C00144,0,55,Month-to-month,No,No,Yes,Electronic check,15.0,825.0,0
C00145,0,36,Month-to-month,Fiber optic,Yes,Yes,Mailed check,55.19,1986.84,0
C00146,0,2,Month-to-month,DSL,Yes,Yes,Electronic check,38.02,76.04,1
C00147,0,41,Month-to-month,Fiber optic,Yes,No,Credit card,81.87,3356.67,1
C00148,0,57,Month-to-month,Fiber optic,Yes,Yes,Credit card,87.85,5007.45,0
C00149,0,33,Month-to-month,Fiber optic,Yes,No,Bank transfer,102.07,3368.31,0
C00150,0,6,Two year,Fiber optic,Yes,Yes,Bank transfer,109.79,658.74,0
C00151,0,28,Two year,Fiber optic,No,Yes,Bank transfer,100.04,2801.12,0
C00152,0,72,Month-to-month,No,No,No,Mailed check,17.57,1265.04,0
C00153,0,19,One year,Fiber optic,No,No,Mailed check,64.37,1223.03,0
C00154,0,38,Month-to-month,No,Yes,Yes,Credit card,26.62,1011.56,0
C00155,1,25,One year,Fiber optic,No,Yes,Bank transfer,98.17,2454.25,0
C00156,0,52,Month-to-month,No,No,No,Electronic check,17.18,893.36,0
C00157,0,31,One year,No,No,No,Bank transfer,18.86,584.66,0
C00158,0,28,One year,DSL,Yes,No,Mailed check,54.56,1527.68,0
C00159,0,42,One year,DSL,No,Yes,Electronic check,60.86,2556.12,0
C00160,1,41,Month-to-month,Fiber optic,Yes,Yes,Credit card,76.24,3125.84,0
C00161,0,36,Two year,Fiber optic,Yes,Yes,Bank transfer,101.12,3640.32,0
C00162,1,18,Month-to-month,Fiber optic,Yes,Yes,Mailed check,88.28,1589.04,1
C00163,0,7,Month-to-month,No,Yes,Yes,Mailed check,15.0,105.0,0
C00164,1,50,One year,No,No,Yes,Electronic check,15.0,750.0,0
C00165,0,24,Month-to-month,Fiber optic,No,No,Bank transfer,63.48,1523.52,1
C00166,0,44,Two year,Fiber optic,No,Yes,Credit card,93.22,4101.68,0
C00167,1,27,Two year,DSL,No,Yes,Bank transfer,58.21,1571.67,0
C00168,0,62,Month-to-month,Fiber optic,No,Yes,Electronic check,82.64,5123.68,0
C00169,0,51,Two year,DSL,No,No,Bank transfer,54.43,2775.93,0
C00170,0,29,Month-to-month,Fiber optic,No,No,Mailed check,97.67,2832.43,0
C00171,0,24,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,81.08,1945.92,0
C00172,1,54,Month-to-month,Fiber optic,Yes,No,Mailed check,79.5,4293.0,0
C00173,0,0,Two year,Fiber optic,No,No,Mailed check,80.81,80.81,0
C00174,0,4,Month-to-month,Fiber optic,No,No,Mailed check,68.8,275.2,0
C00175,0,6,Month-to-month,DSL,No,Yes,Bank transfer,53.51,321.06,0
C00176,0,25,Month-to-month,DSL,Yes,No,Credit card,55.54,1388.5,0
C00177,0,36,Two year,No,No,Yes,Credit card,21.69,780.84,0
C00178,0,21,Two year,No,No,Yes,Electronic check,16.73,351.33,0
C00179,0,13,One year,DSL,Yes,Yes,Electronic check,48.45,629.85,0
C00180,0,22,Two year,DSL,No,Yes,Credit card,70.83,1558.26,0
C00181,0,36,Two year,Fiber optic,No,No,Credit card,100.33,3611.88,0
C00182,0,21,Month-to-month,Fiber optic,Yes,Yes,Mailed check,106.22,2230.62,1
C00183,1,41,Month-to-month,Fiber optic,Yes,Yes,Electronic check,90.59,3714.19,1
C00184,0,27,One year,DSL,No,Yes,Electronic check,45.9,1239.3,0
C00185,0,68,One year,Fiber optic,No,No,Mailed check,78.76,5355.68,0
C00186,0,72,Month-to-month,DSL,Yes,Yes,Mailed check,65.96,4749.12,0
C00187,1,47,Month-to-month,DSL,No,No,Electronic check,44.68,2099.96,0
C00188,0,40,One year,DSL,Yes,No,Credit card,65.82,2632.8,0
C00189,1,2,Month-to-month,Fiber optic,Yes,No,Credit card,80.64,161.28,1
C00190,0,45,Two year,Fiber optic,No,Yes,Bank transfer,69.31,3118.95,0
C00191,0,27,Month-to-month,DSL,No,Yes,Electronic check,67.31,1817.37,0
C00192,0,21,Month-to-month,Fiber optic,No,Yes,Electronic check,74.73,1569.33,0
C00193,1,57,Two year,Fiber optic,Yes,Yes,Bank transfer,110.87,6319.59,0
C00194,0,3,Month-to-month,No,Yes,Yes,Mailed check,15.0,45.0,1
C00195,0,19,Month-to-month,No,Yes,No,Mailed check,16.58,315.02,0
C00196,1,56,One year,DSL,No,No,Credit card,59.27,3319.12,0
C00197,0,67,Two year,No,Yes,Yes,Mailed check,15.0,1005.0,0
C00198,0,37,Month-to-month,Fiber optic,Yes,No,Credit card,76.62,2834.94,0
C00199,0,38,Month-to-month,Fiber optic,No,No,Credit card,82.5,3135.0,1
C00200,1,70,One year,Fiber optic,No,Yes,Bank transfer,101.72,7120.4,0
C00201,0,6,Two year,Fiber optic,No,No,Mailed check,70.5,423.0,0
C00202,0,35,Month-to-month,DSL,Yes,Yes,Credit card,51.33,1796.55,0
C00203,0,17,Month-to-month,No,Yes,Yes,Electronic check,15.46,262.82,0
C00204,0,34,Month-to-month,Fiber optic,No,No,Credit card,63.86,2171.24,0
C00205,0,66,Month-to-month,Fiber optic,No,Yes,Mailed check,110.32,7281.12,1
C00206,0,43,Month-to-month,Fiber optic,No,No,Credit card,104.82,4507.26,1
C00207,0,72,One year,DSL,No,No,Mailed check,68.78,4952.16,0
C00208,0,36,Month-to-month,DSL,No,Yes,Bank transfer,51.25,1845.0,0
C00209,0,63,Month-to-month,Fiber optic,No,Yes,Bank transfer,91.1,5739.3,0
C00210,0,12,One year,Fiber optic,Yes,Yes,Mailed check,87.05,1044.6,1
C00211,1,23,One year,No,Yes,Yes,Electronic check,18.36,422.28,0
C00212,0,19,Month-to-month,Fiber optic,Yes,Yes,Mailed check,47.77,907.63,1
C00213,1,56,Two year,Fiber optic,No,No,Bank transfer,72.33,4050.48,0
C00214,0,37,One year,No,Yes,No,Credit card,19.58,724.46,0
C00215,1,16,One year,DSL,Yes,Yes,Mailed check,54.42,870.72,0
C00216,0,12,Month-to-month,Fiber optic,No,Yes,Credit card,81.07,972.84,0
C00217,0,28,Month-to-month,Fiber optic,No,Yes,Credit card,70.63,1977.64,0
C00218,1,11,Two year,DSL,No,Yes,Electronic check,54.53,599.83,0
C00219,0,50,Month-to-month,DSL,No,Yes,Mailed check,49.19,2459.5,0
C00220,1,61,Month-to-month,DSL,Yes,Yes,Bank transfer,75.61,4612.21,0
C00221,1,70,Month-to-month,DSL,No,Yes,Electronic check,51.75,3622.5,0
C00222,0,17,One year,Fiber optic,No,No,Mailed check,130.0,2210.0,0
C00223,0,32,Two year,DSL,No,Yes,Credit card,58.15,1860.8,0
C00224,0,36,Month-to-month,Fiber optic,No,Yes,Credit card,82.03,2953.08,0
C00225,1,36,Two year,DSL,No,No,Electronic check,44.81,1613.16,0
C00226,1,33,Month-to-month,DSL,No,No,Bank transfer,44.79,1478.07,0
C00227,0,16,One year,DSL,No,Yes,Mailed check,65.25,1044.0,0
C00228,0,8,One year,DSL,No,No,Credit card,41.44,331.52,0
C00229,0,29,Month-to-month,No,No,No,Credit card,15.0,435.0,0
C00230,0,6,Month-to-month,DSL,No,No,Credit card,73.58,441.48,0
C00231,0,4,Month-to-month,DSL,No,No,Credit card,33.58,134.32,1
C00232,1,38,Two year,DSL,No,No,Bank transfer,59.83,2273.54,0
C00233,0,62,One year,Fiber optic,No,No,Electronic check,90.15,5589.3,0
C00234,0,39,Two year,Fiber optic,Yes,Yes,Electronic check,89.36,3485.04,0
C00235,0,1,Two year,No,Yes,Yes,Credit card,18.36,18.36,0
C00236,0,61,Month-to-month,Fiber optic,No,No,Bank transfer,61.04,3723.44,0
C00237,0,49,One year,Fiber optic,No,Yes,Credit card,73.03,3578.47,0
C00238,0,22,Month-to-month,Fiber optic,Yes,Yes,Mailed check,85.4,1878.8,0
C00239,0,19,Month-to-month,No,No,Yes,Credit card,27.1,514.9,0
C00240,0,65,Two year,Fiber optic,Yes,Yes,Electronic check,79.06,5138.9,0
C00241,0,34,One year,DSL,No,No,Credit card,60.59,2060.06,0
C00242,0,10,Month-to-month,Fiber optic,Yes,Yes,Mailed check,82.77,827.7,0
C00243,0,20,Month-to-month,No,No,Yes,Electronic check,18.37,367.4,0
C00244,0,19,One year,Fiber optic,No,No,Credit card,78.65,1494.35,0
C00245,0,29,Two year,No,No,Yes,Credit card,15.62,452.98,0
C00246,0,25,One year,No,Yes,No,Credit card,24.36,609.0,0
C00247,0,39,Month-to-month,DSL,No,Yes,Electronic check,58.3,2273.7,0
C00248,0,23,Month-to-month,No,No,Yes,Mailed check,15.26,350.98,0
C00249,0,46,Month-to-month,Fiber optic,Yes,Yes,Mailed check,82.92,3814.32,1
C00250,0,35,One year,Fiber optic,Yes,No,Mailed check,67.1,2348.5,1
C00251,0,68,Two year,Fiber optic,No,No,Mailed check,78.38,5329.84,0
C00252,0,60,Month-to-month,No,Yes,Yes,Electronic check,16.66,999.6,0
C00253,0,24,Month-to-month,Fiber optic,Yes,No,Mailed check,80.72,1937.28,1
C00254,0,3,Month-to-month,Fiber optic,No,Yes,Electronic check,95.37,286.11,1
C00255,0,42,One year,DSL,No,Yes,Electronic check,36.15,1518.3,0
C00256,0,24,Two year,Fiber optic,No,Yes,Bank transfer,97.36,2336.64,0
C00257,0,65,Month-to-month,No,No,No,Electronic check,28.73,1867.45,0
C00258,0,29,Month-to-month,Fiber optic,No,Yes,Bank transfer,107.63,3121.27,1
C00259,0,21,One year,DSL,Yes,Yes,Credit card,68.52,1438.92,0
C00260,0,24,Month-to-month,No,Yes,No,Credit card,15.43,370.32,0
C00261,0,63,Two year,No,Yes,Yes,Bank transfer,17.71,1115.73,0
C00262,0,8,Month-to-month,Fiber optic,No,No,Credit card,74.86,598.88,1
C00263,0,69,Month-to-month,DSL,No,Yes,Mailed check,61.09,4215.21,0
C00264,0,17,Two year,Fiber optic,No,Yes,Credit card,75.9,1290.3,0
C00265,0,61,Month-to-month,DSL,No,Yes,Credit card,65.03,3966.83,0
C00266,0,39,Month-to-month,DSL,Yes,No,Credit card,49.4,1926.6,0
C00267,0,41,Month-to-month,Fiber optic,No,Yes,Credit card,82.95,3400.95,0
C00268,0,14,Month-to-month,No,Yes,Yes,Bank transfer,16.52,231.28,0
C00269,1,52,Month-to-month,Fiber optic,Yes,Yes,Electronic check,55.66,2894.32,0
C00270,0,47,Month-to-month,No,Yes,No,Electronic check,16.61,780.67,0
C00271,0,35,Month-to-month,No,Yes,Yes,Mailed check,17.19,601.65,0
C00272,0,33,Month-to-month,DSL,Yes,No,Mailed check,40.96,1351.68,0
C00273,0,43,One year,DSL,No,Yes,Credit card,65.7,2825.1,0
C00274,0,34,One year,Fiber optic,No,No,Electronic check,103.82,3529.88,0
C00275,0,71,Month-to-month,Fiber optic,No,Yes,Bank transfer,98.22,6973.62,1
C00276,0,3,Month-to-month,Fiber optic,Yes,Yes,Credit card,70.49,211.47,1
C00277,0,18,Month-to-month,Fiber optic,No,No,Mailed check,102.47,1844.46,1
C00278,0,62,Two year,Fiber optic,No,Yes,Bank transfer,82.82,5134.84,0
C00279,0,57,Two year,Fiber optic,No,No,Electronic check,75.84,4322.88,0
C00280,0,25,Month-to-month,Fiber optic,No,No,Mailed check,80.6,2015.0,0
C00281,0,36,Month-to-month,DSL,No,Yes,Credit card,73.51,2646.36,0
C00282,0,1,Month-to-month,DSL,No,No,Bank transfer,57.11,57.11,1
C00283,0,12,Month-to-month,DSL,No,Yes,Bank transfer,69.27,831.24,0
C00284,1,68,One year,No,Yes,Yes,Credit card,15.0,1020.0,0
C00285,0,46,Month-to-month,No,Yes,Yes,Credit card,25.83,1188.18,0
C00286,0,2,Month-to-month,No,No,No,Mailed check,22.46,44.92,1
C00287,0,57,Month-to-month,DSL,No,Yes,Bank transfer,67.98,3874.86,0
C00288,0,29,Month-to-month,Fiber optic,No,Yes,Bank transfer,54.31,1574.99,0
C00289,0,41,Month-to-month,DSL,No,No,Mailed check,63.11,2587.51,0
C00290,0,62,Two year,Fiber optic,Yes,Yes,Electronic check,93.54,5799.48,0
C00291,0,61,Month-to-month,DSL,No,Yes,Credit card,60.7,3702.7,0
C00292,1,9,Two year,No,No,Yes,Electronic check,17.31,155.79,0
C00293,0,26,Month-to-month,DSL,Yes,Yes,Mailed check,72.31,1880.06,0
C00294,0,19,Two year,Fiber optic,No,Yes,Electronic check,85.25,1619.75,0
C00295,1,66,Two year,No,No,Yes,Credit card,19.76,1304.16,0
C00296,0,56,Two year,Fiber optic,No,No,Electronic check,96.62,5410.72,0
C00297,0,47,Two year,DSL,No,No,Mailed check,55.57,2611.79,0
C00298,0,4,One year,No,Yes,No,Credit card,15.0,60.0,0
C00299,1,58,One year,Fiber optic,Yes,No,Credit card,112.33,6515.14,0
C00300,1,40,One year,Fiber optic,Yes,No,Electronic check,126.96,5078.4,0
C00301,0,19,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,92.13,1750.47,1
C00302,0,32,Month-to-month,No,No,Yes,Mailed check,18.52,592.64,0
C00303,0,32,Month-to-month,Fiber optic,No,Yes,Mailed check,91.52,2928.64,0
C00304,0,21,Two year,Fiber optic,Yes,Yes,Credit card,108.94,2287.74,0
C00305,1,66,Month-to-month,Fiber optic,No,No,Bank transfer,82.19,5424.54,0
C00306,0,66,Month-to-month,DSL,No,Yes,Electronic check,48.48,3199.68,0
C00307,0,3,One year,No,Yes,No,Credit card,18.88,56.64,0
C00308,0,68,Month-to-month,DSL,No,Yes,Mailed check,58.39,3970.52,0
C00309,1,29,Month-to-month,Fiber optic,Yes,Yes,Credit card,47.66,1382.14,0
C00310,0,58,Month-to-month,Fiber optic,No,No,Credit card,70.74,4102.92,1
C00311,0,56,Month-to-month,DSL,No,Yes,Mailed check,59.79,3348.24,1
C00312,0,43,Month-to-month,Fiber optic,Yes,No,Bank transfer,79.55,3420.65,0
C00313,0,54,Month-to-month,Fiber optic,No,No,Mailed check,65.49,3536.46,0
C00314,1,49,Month-to-month,DSL,No,Yes,Credit card,46.4,2273.6,0
C00315,0,62,Month-to-month,DSL,No,Yes,Electronic check,56.49,3502.38,0
C00316,0,30,Month-to-month,No,No,No,Bank transfer,19.99,599.7,0
C00317,1,53,One year,No,No,No,Electronic check,15.0,795.0,0
C00318,0,71,Month-to-month,Fiber optic,No,Yes,Bank transfer,95.98,6814.58,0
C00319,0,69,Two year,DSL,No,No,Credit card,64.49,4449.81,0
C00320,1,10,Two year,DSL,Yes,Yes,Credit card,65.89,658.9,0
C00321,1,36,Month-to-month,DSL,Yes,Yes,Bank transfer,59.84,2154.24,0
C00322,0,37,Month-to-month,Fiber optic,No,Yes,Credit card,113.92,4215.04,0
C00323,0,45,Month-to-month,No,No,Yes,Bank transfer,24.02,1080.9,0
C00324,0,47,Two year,Fiber optic,No,Yes,Bank transfer,79.66,3744.02,0
C00325,0,61,One year,Fiber optic,No,No,Bank transfer,80.66,4920.26,0
C00326,0,38,Two year,No,No,No,Mailed check,20.07,762.66,0
C00327,0,51,Month-to-month,Fiber optic,Yes,No,Electronic check,93.98,4792.98,0
C00328,0,65,One year,DSL,No,Yes,Electronic check,59.29,3853.85,0
C00329,0,7,Month-to-month,Fiber optic,No,No,Mailed check,64.89,454.23,0
C00330,0,46,One year,DSL,No,No,Mailed check,79.1,3638.6,0
C00331,0,26,Month-to-month,No,No,Yes,Credit card,21.6,561.6,0
C00332,0,66,One year,Fiber optic,Yes,Yes,Credit card,82.34,5434.44,0
C00333,0,40,Two year,Fiber optic,No,Yes,Mailed check,106.81,4272.4,0
C00334,0,44,Month-to-month,Fiber optic,No,Yes,Bank transfer,63.74,2804.56,0
C00335,0,55,One year,No,No,No,Bank transfer,16.4,902.0,0
C00336,1,17,Month-to-month,Fiber optic,No,Yes,Electronic check,88.31,1501.27,1
C00337,0,39,One year,Fiber optic,Yes,Yes,Mailed check,105.81,4126.59,0
C00338,0,56,Month-to-month,DSL,Yes,No,Mailed check,74.86,4192.16,0
